id,month_series,month,study,table,cohort,sex,measure,treatment,z,SE,SD,SD_lower,SD_upper,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated_gnrha,age,age_0,n,baseline,baseline_SE,baseline_SD,abs_per,abs_per_SE
2,24,24,Schagen,2,M_early,M,spine_aBMD,GnRHa,-1.26,0.24,0.92951600308978,-1.5,-1.02,0.8,g/cm^2,0.1161895003862225,0.6838104996137775,0.9161895003862226,0.03,24,16.1,14.1,15,-0.67,NA,NA,1.0958904109589043,0.0410958904109589
48,0,0,Schagen,4,M_early,M,spine_aBMD,Estrogen,-1.37,0.3,1.161895003862225,-1.6700000000000002,-1.07,0.77,g/cm^2,0.1161895003862225,0.6538104996137775,0.8861895003862226,0.03,21.6,16.2,16.2,15,-0.67,0.26,1.0069756700139285,1,0.03896103896103896
48,36,36,Schagen,4,M_early,M,spine_aBMD,Estrogen,-0.82,0.39,1.5104635050208928,-1.21,-0.42999999999999994,0.95,g/cm^2,0.15491933384829668,0.7950806661517033,1.1049193338482965,0.04,21.6,19.2,16.2,15,-0.67,0.26,1.0069756700139285,1.2337662337662336,0.051948051948051945
4,0,0,Schagen,2,M_early,M,hip_aBMD,GnRHa,-0.49,0.24,0.92951600308978,-0.73,-0.25,0.79,g/m^2,0.1161895003862225,0.6738104996137775,0.9061895003862226,0.03,24,14.1,14.1,15,-0.49,NA,NA,1,0.03797468354430379
4,24,24,Schagen,2,M_early,M,hip_aBMD,GnRHa,-0.93,0.21,0.8133265027035576,-1.1400000000000001,-0.7200000000000001,0.83,g/m^2,0.1161895003862225,0.7138104996137775,0.9461895003862224,0.03,24,16.1,14.1,15,-0.49,NA,NA,1.0506329113924049,0.03797468354430379
49,0,0,Schagen,4,M_early,M,hip_aBMD,Estrogen,-0.99,0.23,0.890786169627706,-1.22,-0.76,0.87,g/m^2,0.1161895003862225,0.7538104996137776,0.9861895003862224,0.03,21.6,16.2,16.2,15,-0.49,0.24,0.92951600308978,1,0.034482758620689655
49,36,36,Schagen,4,M_early,M,hip_aBMD,Estrogen,-0.09,0.28,1.0844353369380768,-0.37,0.19000000000000003,1.02,g/m^2,0.15491933384829668,0.8650806661517033,1.1749193338482966,0.04,21.6,19.2,16.2,15,-0.49,0.24,0.92951600308978,1.1724137931034484,0.04597701149425287
5,0,0,Schagen,2,M_early,M,body_BMD,GnRHa,-0.56,0.24,0.92951600308978,-0.8,-0.32000000000000006,0.88,g/m^2,0.07745966692414834,0.8025403330758517,0.9574596669241483,0.02,24,14.1,14.1,15,-0.56,NA,NA,1,0.022727272727272728
5,24,24,Schagen,2,M_early,M,body_BMD,GnRHa,-1.51,0.2,0.7745966692414834,-1.71,-1.31,0.92,g/m^2,0.07745966692414834,0.8425403330758517,0.9974596669241483,0.02,24,16.1,14.1,15,-0.56,NA,NA,1.0454545454545454,0.022727272727272728
50,0,0,Schagen,4,M_early,M,body_BMD,Estrogen,-1.67,0.23,0.890786169627706,-1.9,-1.44,0.93,g/m^2,0.07745966692414834,0.8525403330758518,1.0074596669241485,0.02,21.6,16.2,16.2,15,-0.56,0.24,0.92951600308978,1,0.02150537634408602
50,36,36,Schagen,4,M_early,M,body_BMD,Estrogen,-1.22,0.28,1.0844353369380768,-1.5,-0.94,1.06,g/m^2,0.232379000772445,0.827620999227555,1.2923790007724452,0.06,21.6,19.2,16.2,15,-0.56,0.24,0.92951600308978,1.1397849462365592,0.06451612903225806
