id,month,study,table,cohort,sex,measure,treatment,z,SD,SD_lower,SD_upper,SE,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated,age,age_0,n,baseline
3,0,Schagen,2,M_late,M,spine_aBMD,GnRHa,-0.33,1.02,-0.5,-0.16,0.17,0.95,g/m^2,0.03872983346207417,0.9112701665379258,0.9887298334620741,0.01,24,14.1,14.1,36,-0.33
3,24,Schagen,2,M_late,M,spine_aBMD,GnRHa,-0.92,1.02,-1.09,-0.75,0.17,0.92,g/m^2,0.03872983346207417,0.8812701665379259,0.9587298334620742,0.01,24,16.1,14.1,36,-0.33
31,0,Schagen,2,M_late,M,hip_aBMD,GnRHa,-0.43,0.96,-0.59,-0.27,0.16,0.93,g/m^2,0.05099019513592785,0.8790098048640722,0.9809901951359279,0.01,24,14.1,14.1,36,-0.43
31,24,Schagen,2,M_late,M,hip_aBMD,GnRHa,-1.01,0.8999999999999999,-1.16,-0.86,0.15,0.89,g/m^2,0.1019803902718557,0.7880196097281443,0.9919803902718557,0.02,24,16.1,14.1,36,-0.43
32,0,Schagen,2,M_late,M,body_BMD,GnRHa,-0.51,0.96,-0.67,-0.35,0.16,1.03,g/cm2,0.05099019513592785,0.9790098048640722,1.080990195135928,0.01,24,14.1,14.1,36,-0.51
32,24,Schagen,2,M_late,M,body_BMD,GnRHa,-1.62,0.8999999999999999,-1.77,-1.4700000000000002,0.15,1.01,g/cm2,0.05099019513592785,0.9590098048640722,1.060990195135928,0.01,24,16.1,14.1,36,-0.51
34,0,Schagen,2,M_late,M,spine_BMAD,GnRHa,-0.65,1.2000000000000002,-0.8500000000000001,-0.45,0.2,0.2,g/cm^3,0.06,0.14,0.26,0.01,24,14.1,14.1,36,-0.65
34,24,Schagen,2,M_late,M,spine_BMAD,GnRHa,-1.21,1.32,-1.43,-0.99,0.22,0.21,g/cm^3,0,0.21,0.21,0,24,16.1,14.1,36,-0.65
35,0,Schagen,2,M_late,M,hip_BMAD,GnRHa,-1.01,1.02,-1.18,-0.84,0.17,0.28,g/cm^3,0.06,0.22000000000000003,0.34,0.01,24,14.1,14.1,36,-1.01
35,24,Schagen,2,M_late,M,hip_BMAD,GnRHa,-1.56,1.5,-1.81,-1.31,0.25,0.26,g/cm^3,0.06,0.2,0.32,0.01,24,14.1,14.1,36,-1.01
62,0,Schagen,2,F_late,F,spine_aBMD,GnRHa,0.38,0.8515867542417508,0.24,0.52,0.14,0.95,g/m^2,0.0608276253029822,0.8891723746970177,1.0108276253029822,0.01,24,14.1,14.1,37,0.38
62,24,Schagen,2,F_late,F,spine_aBMD,GnRHa,-0.71,0.8515867542417508,-0.85,-0.57,0.14,0.92,g/m^2,0.0608276253029822,0.8591723746970178,0.9808276253029823,0.01,24,16.1,14.1,37,0.38
63,0,Schagen,2,F_late,F,hip_aBMD,GnRHa,0.46,1.581518257877537,0.2,0.72,0.26,0.93,g/m^2,0.0608276253029822,0.8691723746970178,0.9908276253029823,0.01,24,14.1,14.1,37,0.46
63,24,Schagen,2,F_late,F,hip_aBMD,GnRHa,-0.56,1.4598630072715726,-0.8,-0.32000000000000006,0.24,0.89,g/m^2,0.1216552506059644,0.7683447493940356,1.0116552506059644,0.02,24,16.1,14.1,37,0.46
64,0,Schagen,2,F_late,F,body_BMD,GnRHa,0.66,0.7907591289387685,0.53,0.79,0.13,1.03,g/m^2,0.0608276253029822,0.9691723746970178,1.0908276253029823,0.01,24,14.1,14.1,37,0.66
64,24,Schagen,2,F_late,F,body_BMD,GnRHa,-0.4,0.7907591289387685,-0.53,-0.27,0.13,1.01,g/m^2,0.0608276253029822,0.9491723746970178,1.0708276253029823,0.01,24,16.1,14.1,37,0.66
65,0,Schagen,2,F_late,F,spine_BMAD,GnRHa,0.33,0.8515867542417508,0.19,0.47000000000000003,0.14,0.25,g/cm^3,0.0608276253029822,0.1891723746970178,0.3108276253029822,0.01,24,14.1,14.1,37,0.33
65,24,Schagen,2,F_late,F,spine_BMAD,GnRHa,-0.56,1.0340696301506973,-0.7300000000000001,-0.39,0.17,0.24,g/cm^3,0.0608276253029822,0.1791723746970178,0.3008276253029822,0.01,24,16.1,14.1,37,0.33
66,0,Schagen,2,F_late,F,hip_BMAD,GnRHa,0.04,0.7299315036357863,-0.07999999999999999,0.16,0.12,0.32,g/cm^3,0.0608276253029822,0.2591723746970178,0.3808276253029822,0.01,24,14.1,14.1,37,0.04
66,24,Schagen,2,F_late,F,hip_BMAD,GnRHa,-0.54,1.0948972554536793,-0.72,-0.36000000000000004,0.18,0.3,g/cm^3,0.0608276253029822,0.2391723746970178,0.3608276253029822,0.01,24,16.1,14.1,37,0.04
8,0,Stoffers,2,F,F,spine_BMD,GnRHa,0.02,1,-0.98,1.02,0.1270001270001905,0.96,g/m^2,0.11,0.85,1.07,0.013970013970020954,8,16.53333333333333,16.53333333333333,62,0.02
8,8,Stoffers,2,F,F,spine_BMD,GnRHa,-0.81,1.02,-1.83,0.20999999999999996,0.1295401295401943,0.9,g/m^2,0.11,0.79,1.01,0.013970013970020954,8,17.2,16.53333333333333,62,0.02
9,0,Stoffers,2,F,F,left_hip_BMD,GnRHa,-0.19,1.04,-1.23,0.8500000000000001,0.13208013208019811,0.84,g/m^2,0.11,0.73,0.95,0.013970013970020954,8,16.53333333333333,16.53333333333333,62,-0.19
9,8,Stoffers,2,F,F,left_hip_BMD,GnRHa,-1.07,0.85,-1.92,-0.22000000000000008,0.10795010795016192,0.76,g/m^2,0.09,0.67,0.85,0.011430011430017144,8,17.2,16.53333333333333,62,-0.19
10,0,Stoffers,2,F,F,right_hip_BMD,GnRHa,-0.16,1,-1.16,0.84,0.1270001270001905,0.84,g/m^2,0.11,0.73,0.95,0.013970013970020954,8,16.53333333333333,16.53333333333333,62,-0.16
10,8,Stoffers,2,F,F,right_hip_BMD,GnRHa,-0.97,0.79,-1.76,-0.17999999999999994,0.1003301003301505,0.77,g/m^2,0.08,0.6900000000000001,0.85,0.01016001016001524,8,17.2,16.53333333333333,62,-0.16
11,0,Carmicahael,2,M+F,NA,spine_BMD,GnRHa,-0.3,1.3156692098577336,-1.6156692098577337,1.0156692098577336,0.19834459624188455,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,44,-0.3
11,12,Carmicahael,2,M+F,NA,spine_BMD,GnRHa,-1,0.9867519073933004,-1.9867519073933004,-0.013248092606699569,0.14875844718141346,NA,NA,NA,NA,NA,NA,29,14.766666666666666,13.766666666666666,44,-0.3
12,0,Carmicahael,2,M+F,NA,HAZ_spine_BMD,GnRHa,-0.5,1.151210558625517,-1.651210558625517,0.651210558625517,0.173551521711649,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,44,-0.5
12,12,Carmicahael,2,M+F,NA,HAZ_spine_BMD,GnRHa,-1,1.151210558625517,-2.1512105586255172,0.15121055862551702,0.173551521711649,NA,NA,NA,NA,NA,NA,29,14.766666666666666,13.766666666666666,44,-0.5
13,0,Carmicahael,2,M+F,NA,hip_BMD,GnRHa,-0.5,1.3156692098577338,-1.8156692098577338,0.8156692098577338,0.1983445962418846,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,44,-0.5
13,12,Carmicahael,2,M+F,NA,hip_BMD,GnRHa,-1,1.151210558625517,-2.1512105586255172,0.15121055862551702,0.173551521711649,NA,NA,NA,NA,NA,NA,29,14.766666666666666,13.766666666666666,44,-0.5
14,0,Carmicahael,2,M+F,NA,HAZ_hip_BMD,GnRHa,-0.6,1.3156692098577338,-1.9156692098577337,0.7156692098577339,0.1983445962418846,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,44,-0.6
14,12,Carmicahael,2,M+F,NA,HAZ_hip_BMD,GnRHa,-0.9,1.3156692098577338,-2.215669209857734,0.4156692098577338,0.1983445962418846,NA,NA,NA,NA,NA,NA,29,14.766666666666666,13.766666666666666,44,-0.6
15,0,Carmicahael,2,M+F,NA,spine_BMD,GnRHa,-0.5,1.3025058876300404,-1.8025058876300404,0.8025058876300404,0.26587290097204025,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,24,-0.5
15,24,Carmicahael,2,M+F,NA,spine_BMD,GnRHa,-1.5,1.5393251399264112,-3.039325139926411,0.03932513992641118,0.3142134284215021,NA,NA,NA,NA,NA,NA,29,15.766666666666666,13.766666666666666,24,-0.5
16,0,Carmicahael,2,M+F,NA,HAZ_spine_BMD,GnRHa,-0.7,1.3025058876300402,-2.00250588763004,0.6025058876300402,0.2658729009720402,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,24,-0.7
16,24,Carmicahael,2,M+F,NA,HAZ_spine_BMD,GnRHa,-1.3,1.4209155137782257,-2.720915513778226,0.12091551377822563,0.29004316469677116,NA,NA,NA,NA,NA,NA,29,15.766666666666666,13.766666666666666,24,-0.7
25,0,Carmicahael,2,M+F,NA,hip_BMD,GnRHa,-0.5,1.3181177362323493,-1.8181177362323493,0.8181177362323493,0.28763687148326555,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,21,-0.5
25,24,Carmicahael,2,M+F,NA,hip_BMD,GnRHa,-1.4,1.2082745915463198,-2.6082745915463197,-0.19172540845368014,0.26366713219299337,NA,NA,NA,NA,NA,NA,29,15.766666666666666,13.766666666666666,21,-0.5
